site1,part/number,site2,document/type,purchase/order/number,indication,supplier,first/qty,purchase/order/quantity,created/date,eta,total/po/qty,total/number/of/po,eta/status,final/po/qty,index/part/number
GREECE,ADB01114,GREECE,Purchase Order,144908,O,ZAACO,49,56,09-12-2024,26-03-2025,56,1,1,56,ADB011141
GREECE,ADB01115,GREECE,Purchase Order,CEO20447-144941,O,CAP,12,12,13-01-2025,12-02-2025,12,1,1,12,ADB011151
GREECE,ADB01116,GREECE,Purchase Order,CEO20495-144954b,O,CAP,3,3,23-01-2025,21-02-2025,3,1,1,3,ADB011161
GREECE,ADB01118,GREECE,Purchase Order,CEO20495-144954b,O,CAP,4,10,23-01-2025,21-02-2025,100,3,1,10,ADB011181
GREECE,ADB01118,GREECE,Purchase Order,144871 BO,O,ZAACO,1,54,24-10-2024,25-02-2025,100,3,2,54,ADB011182
GREECE,ADB01118,GREECE,Purchase Order,144975,O,ANL,61,36,06-02-2025,30-05-2025,100,3,3,36,ADB011183
GREECE,ADB01137,GREECE,Purchase Order,144908,O,ZAACO,120,54,09-12-2024,26-03-2025,54,1,1,54,ADB011371
GREECE,ADB01145,GREECE,Purchase Order,144871 BO,O,ZAACO,2,54,24-10-2024,25-02-2025,90,2,1,54,ADB011451
GREECE,ADB01145,GREECE,Purchase Order,144975,O,ANL,33,36,06-02-2025,30-05-2025,90,2,2,36,ADB011452
GREECE,ADB01147,GREECE,Purchase Order,CSO490476_LREPLE,O,CAP,1,2,15-01-2025,12-02-2025,4,2,1,2,ADB011471
GREECE,ADB01147,GREECE,Purchase Order,CEO20493-144953,O,CAP,2,2,23-01-2025,21-02-2025,4,2,2,2,ADB011472
GREECE,ADB01149,GREECE,Purchase Order,144759 BO,O,ANL,17,9,12-08-2024,17-02-2025,36,2,1,9,ADB011491
GREECE,ADB01149,GREECE,Purchase Order,144759 BOII,O,ANL,16,27,12-08-2024,14-03-2025,36,2,2,27,ADB011492
GREECE,ADB01150,GREECE,Purchase Order,CEO20495-144954b,O,CAP,5,4,23-01-2025,21-02-2025,112,3,1,4,ADB011501
GREECE,ADB01150,GREECE,Purchase Order,144818 BOII,O,ZAACO,9,54,03-10-2024,25-02-2025,112,3,2,54,ADB011502
GREECE,ADB01150,GREECE,Purchase Order,144908,O,ZAACO,96,54,09-12-2024,26-03-2025,112,3,3,54,ADB011503
GREECE,ADB01159,GREECE,Purchase Order,144792 BO,O,ANL,8,27,06-09-2024,26-02-2025,27,1,1,27,ADB011591
GREECE,ADB01209,GREECE,Purchase Order,144975,O,ANL,45,36,06-02-2025,30-05-2025,36,1,1,36,ADB012091
GREECE,ADB01221,GREECE,Purchase Order,144877,O,ANL,91,12,18-11-2024,17-02-2025,36,2,1,12,ADB012211
GREECE,ADB01221,GREECE,Purchase Order,144877 BO,O,ANL,122,24,18-11-2024,14-03-2025,36,2,2,24,ADB012212
GREECE,ADB01231,GREECE,Purchase Order,144949,O,IBERICA,2,5,21-01-2025,26-02-2025,5,1,1,5,ADB012311
GREECE,ADB01280,GREECE,Purchase Order,CSO488278_REPLEN,O,CAP,1,3,08-01-2025,12-02-2025,8,2,1,3,ADB012801
GREECE,ADB01280,GREECE,Purchase Order,CEO20493-144953,O,CAP,3,5,23-01-2025,21-02-2025,8,2,2,5,ADB012802
GREECE,ADB01284,GREECE,Purchase Order,144908,O,ZAACO,38,63,09-12-2024,26-03-2025,117,2,1,63,ADB012841
GREECE,ADB01284,GREECE,Purchase Order,144934,O,ZAACO,104,54,06-01-2025,06-05-2025,117,2,2,54,ADB012842
GREECE,ADB01305,GREECE,Purchase Order,CEO20495-144954b,O,CAP,6,6,23-01-2025,21-02-2025,42,2,1,6,ADB013051
GREECE,ADB01305,GREECE,Purchase Order,144975,O,ANL,71,36,06-02-2025,30-05-2025,42,2,2,36,ADB013052
GREECE,ADB01306,GREECE,Purchase Order,144877 BO,O,ANL,86,45,18-11-2024,14-03-2025,45,1,1,45,ADB013061
GREECE,ADB01308,GREECE,Purchase Order,144975,O,ANL,83,36,06-02-2025,30-05-2025,36,1,1,36,ADB013081
GREECE,ADB01313,GREECE,Purchase Order,144844 BO,O,IBERICA,2,8,21-10-2024,26-02-2025,9,2,1,9,ADB013131
GREECE,ADB01313,GREECE,Purchase Order,144800 BO,O,IBERICA,2,1,17-09-2024,26-02-2025,9,2,2,9,ADB013132
GREECE,ADB01317,GREECE,Purchase Order,CSO488278_REPLEN,O,CAP,2,1,08-01-2025,12-02-2025,47,3,1,1,ADB013171
GREECE,ADB01317,GREECE,Purchase Order,CEO20495-144954b,O,CAP,7,10,23-01-2025,21-02-2025,47,3,2,10,ADB013172
GREECE,ADB01317,GREECE,Purchase Order,144975,O,ANL,74,36,06-02-2025,30-05-2025,47,3,3,36,ADB013173
GREECE,ADB0132,GREECE,Purchase Order,144652 BOII,O,ANL,1,9,29-05-2024,14-03-2025,9,1,1,9,ADB01321
GREECE,ADB01322,GREECE,Purchase Order,CSO488278_REPLEN,O,CAP,3,2,08-01-2025,12-02-2025,4,2,1,2,ADB013221
GREECE,ADB01322,GREECE,Purchase Order,CEO20493-144953,O,CAP,4,2,23-01-2025,21-02-2025,4,2,2,2,ADB013222
GREECE,ADB01323,GREECE,Purchase Order,144872,O,ZAACO,8,126,24-10-2024,26-03-2025,342,3,1,216,ADB013231
GREECE,ADB01323,GREECE,Purchase Order,144908,O,ZAACO,23,90,09-12-2024,26-03-2025,342,3,2,216,ADB013232
GREECE,ADB01323,GREECE,Purchase Order,144934,O,ZAACO,21,126,06-01-2025,06-05-2025,342,3,3,126,ADB013233
GREECE,ADB0134,GREECE,Purchase Order,144934,O,ZAACO,64,64,06-01-2025,06-05-2025,64,1,1,64,ADB01341
GREECE,ADB01525,GREECE,Purchase Order,144934,O,ZAACO,19,135,06-01-2025,06-05-2025,135,1,1,135,ADB015251
GREECE,ADB01533,GREECE,Purchase Order,CSO488278_REPLEN,O,CAP,4,3,08-01-2025,12-02-2025,3,1,1,3,ADB015331
GREECE,ADB01552,GREECE,Purchase Order,144759 BO,O,ANL,35,9,12-08-2024,17-02-2025,333,3,1,216,ADB015521
GREECE,ADB01552,GREECE,Purchase Order,144877,O,ANL,87,207,18-11-2024,17-02-2025,333,3,2,216,ADB015522
GREECE,ADB01552,GREECE,Purchase Order,144877 BO,O,ANL,5,117,18-11-2024,14-03-2025,333,3,3,117,ADB015523
GREECE,ADB01555,GREECE,Purchase Order,144975,O,ANL,17,40,06-02-2025,30-05-2025,40,1,1,40,ADB015551
GREECE,ADB01569,GREECE,Purchase Order,CSO488278_REPLEN,O,CAP,5,6,08-01-2025,12-02-2025,61,2,1,6,ADB015691
GREECE,ADB01569,GREECE,Purchase Order,144908,O,ZAACO,64,55,09-12-2024,26-03-2025,61,2,2,55,ADB015692
GREECE,ADB01575,GREECE,Purchase Order,CSO488278_REPLEN,O,CAP,6,3,08-01-2025,12-02-2025,41,3,1,3,ADB015751
GREECE,ADB01575,GREECE,Purchase Order,CEO20495-144954b,O,CAP,8,2,23-01-2025,21-02-2025,41,3,2,2,ADB015752
GREECE,ADB01575,GREECE,Purchase Order,144877 BO,O,ANL,97,36,18-11-2024,14-03-2025,41,3,3,36,ADB015753
GREECE,ADB01577,GREECE,Purchase Order,144871 BO,O,ZAACO,3,54,24-10-2024,25-02-2025,108,2,1,54,ADB015771
GREECE,ADB01577,GREECE,Purchase Order,144934,O,ZAACO,121,54,06-01-2025,06-05-2025,108,2,2,54,ADB015772
GREECE,ADB01581,GREECE,Purchase Order,144877,O,ANL,11,36,18-11-2024,17-02-2025,36,1,1,36,ADB015811
GREECE,ADB01590,GREECE,Purchase Order,144949,O,IBERICA,3,3,21-01-2025,26-02-2025,3,1,1,3,ADB015901
GREECE,ADB01591,GREECE,Purchase Order,CEO20495-144954b,O,CAP,9,15,23-01-2025,21-02-2025,177,3,1,15,ADB015911
GREECE,ADB01591,GREECE,Purchase Order,144908,O,ZAACO,35,72,09-12-2024,26-03-2025,177,3,2,72,ADB015912
GREECE,ADB01591,GREECE,Purchase Order,144934,O,ZAACO,39,90,06-01-2025,06-05-2025,177,3,3,90,ADB015913
GREECE,ADB01592,GREECE,Purchase Order,CEO20495-144954b,O,CAP,10,10,23-01-2025,21-02-2025,64,2,1,10,ADB015921
GREECE,ADB01592,GREECE,Purchase Order,144934,O,ZAACO,146,54,06-01-2025,06-05-2025,64,2,2,54,ADB015922
GREECE,ADB01598,GREECE,Purchase Order,CSO488278_REPLEN,O,CAP,7,2,08-01-2025,12-02-2025,65,2,1,2,ADB015981
GREECE,ADB01598,GREECE,Purchase Order,144818 BOII,O,ZAACO,4,63,03-10-2024,25-02-2025,65,2,2,63,ADB015982
GREECE,ADB01599,GREECE,Purchase Order,144872,O,ZAACO,6,153,24-10-2024,26-03-2025,648,3,1,153,ADB015991
GREECE,ADB01599,GREECE,Purchase Order,144934,O,ZAACO,3,405,06-01-2025,06-05-2025,648,3,2,405,ADB015992
GREECE,ADB01599,GREECE,Purchase Order,144975,O,ANL,4,90,06-02-2025,30-05-2025,648,3,3,90,ADB015993
GREECE,ADB01607,GREECE,Purchase Order,144949,O,IBERICA,4,2,21-01-2025,26-02-2025,2,1,1,2,ADB016071
GREECE,ADB01608,GREECE,Purchase Order,CEO20493-144953,O,CAP,5,2,23-01-2025,21-02-2025,2,1,1,2,ADB016081
GREECE,ADB01610,GREECE,Purchase Order,144877,O,ANL,53,63,18-11-2024,17-02-2025,108,2,1,63,ADB016101
GREECE,ADB01610,GREECE,Purchase Order,144975,O,ANL,12,45,06-02-2025,30-05-2025,108,2,2,45,ADB016102
GREECE,ADB01613,GREECE,Purchase Order,144759 BO,O,ANL,48,90,12-08-2024,17-02-2025,149,3,1,90,ADB016131
GREECE,ADB01613,GREECE,Purchase Order,CEO20495-144954b,O,CAP,11,5,23-01-2025,21-02-2025,149,3,2,5,ADB016132
GREECE,ADB01613,GREECE,Purchase Order,144915,O,ANL,2,54,16-12-2024,15-04-2025,149,3,3,54,ADB016133
GREECE,ADB01618,GREECE,Purchase Order,144871 BO,O,ZAACO,4,162,24-10-2024,25-02-2025,531,3,1,162,ADB016181
GREECE,ADB01618,GREECE,Purchase Order,144908,O,ZAACO,20,99,09-12-2024,26-03-2025,531,3,2,99,ADB016182
GREECE,ADB01618,GREECE,Purchase Order,144934,O,ZAACO,7,270,06-01-2025,06-05-2025,531,3,3,270,ADB016183
GREECE,ADB01622,GREECE,Purchase Order,144792 BO,O,ANL,19,36,06-09-2024,26-02-2025,72,2,1,36,ADB016221
GREECE,ADB01622,GREECE,Purchase Order,144975,O,ANL,26,36,06-02-2025,30-05-2025,72,2,2,36,ADB016222
GREECE,ADB01625,GREECE,Purchase Order,144759 BO,O,ANL,24,36,12-08-2024,17-02-2025,36,1,1,36,ADB016251
GREECE,ADB01629,GREECE,Purchase Order,144934,O,ZAACO,76,63,06-01-2025,06-05-2025,63,1,1,63,ADB016291
GREECE,ADB01658,GREECE,Purchase Order,144877 BO,O,ANL,72,54,18-11-2024,14-03-2025,54,1,1,54,ADB016581
GREECE,ADB0166,GREECE,Purchase Order,144949,O,IBERICA,5,1,21-01-2025,26-02-2025,1,1,1,1,ADB01661
GREECE,ADB01673,GREECE,Purchase Order,CSO495536_REPLEN,O,CAP,1,1,29-01-2025,07-02-2025,3,2,1,1,ADB016731
GREECE,ADB01673,GREECE,Purchase Order,144949,O,IBERICA,6,2,21-01-2025,26-02-2025,3,2,2,2,ADB016732
GREECE,ADB01677,GREECE,Purchase Order,144871 BO,O,ZAACO,5,120,24-10-2024,25-02-2025,180,2,1,120,ADB016771
GREECE,ADB01677,GREECE,Purchase Order,144934,O,ZAACO,80,60,06-01-2025,06-05-2025,180,2,2,60,ADB016772
GREECE,ADB01700,GREECE,Purchase Order,CEO20493-144953,O,CAP,6,7,23-01-2025,21-02-2025,7,1,1,7,ADB017001
GREECE,ADB01707,GREECE,Purchase Order,CEO20495-144954b,O,CAP,12,15,23-01-2025,21-02-2025,142,4,1,15,ADB017071
GREECE,ADB01707,GREECE,Purchase Order,144955,O,IBERICA,1,10,23-01-2025,26-02-2025,142,4,2,10,ADB017072
GREECE,ADB01707,GREECE,Purchase Order,144871 BOII,O,ZAACO,8,63,24-10-2024,26-03-2025,142,4,3,63,ADB017073
GREECE,ADB01707,GREECE,Purchase Order,144934,O,ZAACO,127,54,06-01-2025,06-05-2025,142,4,4,54,ADB017074
GREECE,ADB01709,GREECE,Purchase Order,144934,O,ZAACO,137,54,06-01-2025,06-05-2025,54,1,1,54,ADB017091
GREECE,ADB01710,GREECE,Purchase Order,144877,O,ANL,10,225,18-11-2024,17-02-2025,225,1,1,225,ADB017101
GREECE,ADB01712,GREECE,Purchase Order,144877,O,ANL,46,9,18-11-2024,17-02-2025,87,3,1,9,ADB017121
GREECE,ADB01712,GREECE,Purchase Order,CEO20495-144954b,O,CAP,13,15,23-01-2025,21-02-2025,87,3,2,15,ADB017122
GREECE,ADB01712,GREECE,Purchase Order,144877 BO,O,ANL,53,63,18-11-2024,14-03-2025,87,3,3,63,ADB017123
GREECE,ADB01713,GREECE,Purchase Order,CEO20495-144954b,O,CAP,14,8,23-01-2025,21-02-2025,44,2,1,8,ADB017131
GREECE,ADB01713,GREECE,Purchase Order,144915,O,ANL,13,36,16-12-2024,15-04-2025,44,2,2,36,ADB017132
GREECE,ADB01715,GREECE,Purchase Order,CSO488278_REPLEN,O,CAP,8,8,08-01-2025,12-02-2025,116,3,1,8,ADB017151
GREECE,ADB01715,GREECE,Purchase Order,144871 BO,O,ZAACO,6,54,24-10-2024,25-02-2025,116,3,2,54,ADB017152
GREECE,ADB01715,GREECE,Purchase Order,144934,O,ZAACO,132,54,06-01-2025,06-05-2025,116,3,3,54,ADB017153
GREECE,ADB01719,GREECE,Purchase Order,144877,O,ANL,18,144,18-11-2024,17-02-2025,154,2,1,144,ADB017191
GREECE,ADB01719,GREECE,Purchase Order,CEO20495-144954b,O,CAP,15,10,23-01-2025,21-02-2025,154,2,2,10,ADB017192
GREECE,ADB01744,GREECE,Purchase Order,CSO488278_REPLEN,O,CAP,9,2,08-01-2025,12-02-2025,8,2,1,2,ADB017441
GREECE,ADB01744,GREECE,Purchase Order,CEO20495-144954b,O,CAP,16,6,23-01-2025,21-02-2025,8,2,2,6,ADB017442
GREECE,ADB01759,GREECE,Purchase Order,CEO20493-144953,O,CAP,7,2,23-01-2025,21-02-2025,2,1,1,2,ADB017591
GREECE,ADB01765,GREECE,Purchase Order,144871 BO,O,ZAACO,7,63,24-10-2024,25-02-2025,117,2,1,63,ADB017651
GREECE,ADB01765,GREECE,Purchase Order,144934,O,ZAACO,133,54,06-01-2025,06-05-2025,117,2,2,54,ADB017652
GREECE,ADB01769,GREECE,Purchase Order,144305 BOX,O,IBERICA,1,1,01-04-2024,26-02-2025,2,2,1,2,ADB017691
GREECE,ADB01769,GREECE,Purchase Order,144949,O,IBERICA,7,1,21-01-2025,26-02-2025,2,2,2,2,ADB017692
GREECE,ADB0177,GREECE,Purchase Order,144759 BO,O,ANL,76,45,12-08-2024,17-02-2025,99,2,1,45,ADB01771
GREECE,ADB0177,GREECE,Purchase Order,144877 BO,O,ANL,74,54,18-11-2024,14-03-2025,99,2,2,54,ADB01772
GREECE,ADB01792,GREECE,Purchase Order,CSO488278_REPLEN,O,CAP,10,2,08-01-2025,12-02-2025,53,3,1,2,ADB017921
GREECE,ADB01792,GREECE,Purchase Order,CEO20493-144953,O,CAP,8,15,23-01-2025,21-02-2025,53,3,2,15,ADB017922
GREECE,ADB01792,GREECE,Purchase Order,144975,O,ANL,86,36,06-02-2025,30-05-2025,53,3,3,36,ADB017923
GREECE,ADB01797,GREECE,Purchase Order,144908,O,ZAACO,102,54,09-12-2024,26-03-2025,117,2,1,54,ADB017971
GREECE,ADB01797,GREECE,Purchase Order,144934,O,ZAACO,72,63,06-01-2025,06-05-2025,117,2,2,63,ADB017972
GREECE,ADB0180,GREECE,Purchase Order,144934,O,ZAACO,59,72,06-01-2025,06-05-2025,72,1,1,72,ADB01801
GREECE,ADB0195,GREECE,Purchase Order,144759 BO,O,ANL,95,36,12-08-2024,17-02-2025,153,4,1,63,ADB01951
GREECE,ADB0195,GREECE,Purchase Order,144877,O,ANL,38,27,18-11-2024,17-02-2025,153,4,2,63,ADB01952
GREECE,ADB0195,GREECE,Purchase Order,144877 BO,O,ANL,44,54,18-11-2024,14-03-2025,153,4,3,54,ADB01953
GREECE,ADB0195,GREECE,Purchase Order,144975,O,ANL,36,36,06-02-2025,30-05-2025,153,4,4,36,ADB01954
GREECE,ADB02001,GREECE,Purchase Order,CSO488278_REPLEN,O,CAP,11,2,08-01-2025,12-02-2025,38,2,1,2,ADB020011
GREECE,ADB02001,GREECE,Purchase Order,144975,O,ANL,35,36,06-02-2025,30-05-2025,38,2,2,36,ADB020012
GREECE,ADB0201,GREECE,Purchase Order,144759 BOII,O,ANL,20,36,12-08-2024,14-03-2025,36,1,1,36,ADB02011
GREECE,ADB02017,GREECE,Purchase Order,CEO20495-144954b,O,CAP,17,10,23-01-2025,21-02-2025,64,2,1,10,ADB020171
GREECE,ADB02017,GREECE,Purchase Order,144871 BO,O,ZAACO,8,54,24-10-2024,25-02-2025,64,2,2,54,ADB020172
GREECE,ADB02021,GREECE,Purchase Order,CSO488278_REPLEN,O,CAP,12,2,08-01-2025,12-02-2025,2,1,1,2,ADB020211
GREECE,ADB02022,GREECE,Purchase Order,144877,O,ANL,89,36,18-11-2024,17-02-2025,45,2,1,36,ADB020221
GREECE,ADB02022,GREECE,Purchase Order,144792 BO,O,ANL,3,9,06-09-2024,26-02-2025,45,2,2,9,ADB020222
GREECE,ADB02027,GREECE,Purchase Order,144934,O,ZAACO,68,63,06-01-2025,06-05-2025,63,1,1,63,ADB020271
GREECE,ADB02030,GREECE,Purchase Order,CSO488278_REPLEN,O,CAP,13,1,08-01-2025,12-02-2025,1,1,1,1,ADB020301
GREECE,ADB0204,GREECE,Purchase Order,144759 BO,O,ANL,71,45,12-08-2024,17-02-2025,45,1,1,45,ADB02041
GREECE,ADB02045,GREECE,Purchase Order,144934,O,ZAACO,41,90,06-01-2025,06-05-2025,90,1,1,90,ADB020451
GREECE,ADB0212,GREECE,Purchase Order,144934,O,ZAACO,56,72,06-01-2025,06-05-2025,72,1,1,72,ADB02121
GREECE,ADB02130,GREECE,Purchase Order,144949,O,IBERICA,8,4,21-01-2025,26-02-2025,4,1,1,4,ADB021301
GREECE,ADB02143,GREECE,Purchase Order,CEO20495-144954a,O,CAP,1,80,23-01-2025,21-02-2025,755,3,1,80,ADB021431
GREECE,ADB02143,GREECE,Purchase Order,144908,O,ZAACO,2,405,09-12-2024,26-03-2025,755,3,2,405,ADB021432
GREECE,ADB02143,GREECE,Purchase Order,144934,O,ZAACO,8,270,06-01-2025,06-05-2025,755,3,3,270,ADB021433
GREECE,ADB02149,GREECE,Purchase Order,144949,O,IBERICA,9,6,21-01-2025,26-02-2025,6,1,1,6,ADB021491
GREECE,ADB02156,GREECE,Purchase Order,CSO488278_REPLEN,O,CAP,14,50,08-01-2025,12-02-2025,496,5,1,82,ADB021561
GREECE,ADB02156,GREECE,Purchase Order,CSO490470_REPLEN,O,CAP,1,32,16-01-2025,12-02-2025,496,5,2,82,ADB021562
GREECE,ADB02156,GREECE,Purchase Order,144871 BO,O,ZAACO,9,108,24-10-2024,25-02-2025,496,5,3,108,ADB021563
GREECE,ADB02156,GREECE,Purchase Order,144908,O,ZAACO,5,180,09-12-2024,26-03-2025,496,5,4,180,ADB021564
GREECE,ADB02156,GREECE,Purchase Order,144934,O,ZAACO,24,126,06-01-2025,06-05-2025,496,5,5,126,ADB021565
GREECE,ADB02158,GREECE,Purchase Order,CSO488278_REPLEN,O,CAP,15,1,08-01-2025,12-02-2025,1,1,1,1,ADB021581
GREECE,ADB02196,GREECE,Purchase Order,144908,O,ZAACO,37,70,09-12-2024,26-03-2025,125,2,1,70,ADB021961
GREECE,ADB02196,GREECE,Purchase Order,144934,O,ZAACO,90,55,06-01-2025,06-05-2025,125,2,2,55,ADB021962
GREECE,ADB02197,GREECE,Purchase Order,144871 BO,O,ZAACO,10,63,24-10-2024,25-02-2025,117,2,1,63,ADB021971
GREECE,ADB02197,GREECE,Purchase Order,144934,O,ZAACO,130,54,06-01-2025,06-05-2025,117,2,2,54,ADB021972
GREECE,ADB02199,GREECE,Purchase Order,144908,O,ZAACO,119,54,09-12-2024,26-03-2025,54,1,1,54,ADB021991
GREECE,ADB02220,GREECE,Purchase Order,CEO20495-144954b,O,CAP,18,7,23-01-2025,21-02-2025,61,2,1,7,ADB022201
GREECE,ADB02220,GREECE,Purchase Order,144908,O,ZAACO,125,54,09-12-2024,26-03-2025,61,2,2,54,ADB022202
GREECE,ADB02250,GREECE,Purchase Order,CSO488278_REPLEN,O,CAP,16,15,08-01-2025,12-02-2025,123,4,1,15,ADB022501
GREECE,ADB02250,GREECE,Purchase Order,144871 BO,O,ZAACO,11,48,24-10-2024,25-02-2025,123,4,2,48,ADB022502
GREECE,ADB02250,GREECE,Purchase Order,144871 BOII,O,ZAACO,15,6,24-10-2024,26-03-2025,123,4,3,6,ADB022503
GREECE,ADB02250,GREECE,Purchase Order,144934,O,ZAACO,140,54,06-01-2025,06-05-2025,123,4,4,54,ADB022504
GREECE,ADB02255,GREECE,Purchase Order,CEO20447-144941,O,CAP,11,18,13-01-2025,12-02-2025,18,1,1,18,ADB022551
GREECE,ADB02256,GREECE,Purchase Order,CSO488278_REPLEN,O,CAP,17,1,08-01-2025,12-02-2025,1,1,1,1,ADB022561
GREECE,ADB02262,GREECE,Purchase Order,144949,O,IBERICA,10,3,21-01-2025,26-02-2025,3,1,1,3,ADB022621
GREECE,ADB02267,GREECE,Purchase Order,CSO492875_REPLEN,O,CAP,2,1,23-01-2025,12-02-2025,3,2,1,1,ADB022671
GREECE,ADB02267,GREECE,Purchase Order,144677 BOIV,O,IBERICA,1,2,12-06-2024,26-02-2025,3,2,2,2,ADB022672
GREECE,ADB02285,GREECE,Purchase Order,144908,O,ZAACO,93,54,09-12-2024,26-03-2025,54,1,1,54,ADB022851
GREECE,ADB02315,GREECE,Purchase Order,144934,O,ZAACO,151,54,06-01-2025,06-05-2025,54,1,1,54,ADB023151
GREECE,ADB02316,GREECE,Purchase Order,144871 BO,O,ZAACO,12,60,24-10-2024,25-02-2025,168,3,1,60,ADB023161
GREECE,ADB02316,GREECE,Purchase Order,144908,O,ZAACO,95,54,09-12-2024,26-03-2025,168,3,2,54,ADB023162
GREECE,ADB02316,GREECE,Purchase Order,144934,O,ZAACO,119,54,06-01-2025,06-05-2025,168,3,3,54,ADB023163
GREECE,ADB02317,GREECE,Purchase Order,144949,O,IBERICA,11,2,21-01-2025,26-02-2025,2,1,1,2,ADB023171
GREECE,ADB02319,GREECE,Purchase Order,CSO488278_REPLEN,O,CAP,18,3,08-01-2025,12-02-2025,57,2,1,3,ADB023191
GREECE,ADB02319,GREECE,Purchase Order,144871 BO,O,ZAACO,13,54,24-10-2024,25-02-2025,57,2,2,54,ADB023192
GREECE,ADB02335,GREECE,Purchase Order,144955,O,IBERICA,2,6,23-01-2025,26-02-2025,60,2,1,6,ADB023351
GREECE,ADB02335,GREECE,Purchase Order,144908,O,ZAACO,130,54,09-12-2024,26-03-2025,60,2,2,54,ADB023352
GREECE,ADB02345,GREECE,Purchase Order,CSO488278_REPLEN,O,CAP,19,1,08-01-2025,12-02-2025,6,2,1,1,ADB023451
GREECE,ADB02345,GREECE,Purchase Order,144949,O,IBERICA,12,5,21-01-2025,26-02-2025,6,2,2,5,ADB023452
GREECE,ADB02348,GREECE,Purchase Order,CSO488278_REPLEN,O,CAP,20,2,08-01-2025,12-02-2025,2,1,1,2,ADB023481
GREECE,ADB02351,GREECE,Purchase Order,144759 BO,O,ANL,86,40,12-08-2024,17-02-2025,154,3,1,40,ADB023511
GREECE,ADB02351,GREECE,Purchase Order,CEO20495-144954b,O,CAP,19,10,23-01-2025,21-02-2025,154,3,2,10,ADB023512
GREECE,ADB02351,GREECE,Purchase Order,144915,O,ANL,1,104,16-12-2024,15-04-2025,154,3,3,104,ADB023513
GREECE,ADB02354,GREECE,Purchase Order,144934,O,ZAACO,34,95,06-01-2025,06-05-2025,95,1,1,95,ADB023541
GREECE,ADB02361,GREECE,Purchase Order,CEO20493-144953,O,CAP,9,2,23-01-2025,21-02-2025,2,1,1,2,ADB023611
GREECE,ADB02363,GREECE,Purchase Order,CSO488278_REPLEN,O,CAP,21,2,08-01-2025,12-02-2025,2,1,1,2,ADB023631
GREECE,ADB02365,GREECE,Purchase Order,CSO490470_REPLEN,O,CAP,2,3,16-01-2025,12-02-2025,6,2,1,3,ADB023651
GREECE,ADB02365,GREECE,Purchase Order,CEO20493-144953,O,CAP,10,3,23-01-2025,21-02-2025,6,2,2,3,ADB023652
GREECE,ADB02366,GREECE,Purchase Order,144955,O,IBERICA,31,1,23-01-2025,26-02-2025,1,1,1,1,ADB023661
GREECE,ADB02368,GREECE,Purchase Order,144871 BO,O,ZAACO,14,54,24-10-2024,25-02-2025,54,1,1,54,ADB023681
GREECE,ADB02369,GREECE,Purchase Order,CEO20493-144953,O,CAP,11,2,23-01-2025,21-02-2025,2,1,1,2,ADB023691
